hotel_id,hotel_name,location,price,rating,amenities,image_url,description
1,Taj Lake Palace,Udaipur,25000,4.9,"['Wi-Fi', 'Pool', 'Spa', 'Breakfast']",https://lh3.googleusercontent.com/proxy/9xXsYHoL28Uvs1Y1xiSOM3OaYwp7iZn9PNrZdlKRorHL1a-_JRlkrsr0o-FeE3J9Cu55eB4Kd12tSKK5SKou1KnRNPJzOUW1a9jDOxQM4pw6AokNEn8Mz9EzSdXTlwfz6PeCbdt2qtyHw8OiNSaCi7kqmekdd8idydV9Ng=s1360-w1360-h1020,"Taj Lake Palace in Udaipur is a property that offers a royal experience with impeccable hospitality. The property is situated in the middle of Lake Pichola and offers breathtaking views. The staff is courteous and goes above and beyond to make guests feel special."
2,The Leela Palace,Udaipur,23000,4.8,"['Wi-Fi', 'Parking', 'Fitness Center', 'Lake View']",https://lh3.googleusercontent.com/p/AF1QipMX_pTNXFwgozINJ3YQQ51JqlQ7yzG8FRm8mg_1=s1360-w1360-h1020,"The Leela celebrates each hotel through its unique location, art, culture and cuisine with thoughtful services, celebratory rituals, and immersive experiences."
3,The Oberoi Udaivilas,Udaipur,28000,4.9,"['Wi-Fi', 'Pool', 'Luxury Spa', 'Fine Dining']",https://lh3.googleusercontent.com/p/AF1QipMXhrIcC8-URjDYgMSpW2r7RERJEsLg4IeTYcRa=s1360-w1360-h1020,"The Oberoi Udaivilas is a 5-star hotel in Udaipur, India that's known for its romantic setting on Lake Pichola. It's built on the former hunting grounds of the Maharana of Mewar."
4,Rambagh Palace,Jaipur,27000,4.8,"['Free Wi-Fi', 'Heritage Stay', 'Fine Dining', 'Luxury Spa']",https://lh3.googleusercontent.com/p/AF1QipPS38VP5j4uX7BxK2bclKs3up1GyNjoUAv17zXP=s1360-w1360-h1020,"Rambagh Palace, Jaipur has a stately elegance that has long made it a much cherished destination. Celebrated restaurants and iconic grounds bestow the 'Jewel of Jaipur' with an added measure of grandeur."
5,Oberoi Rajvilas,Jaipur,26000,4.7,"['Wi-Fi', 'Yoga Pavilion', 'Private Pools', 'Luxury Spa']",https://lh3.googleusercontent.com/p/AF1QipNV-kjooaBDwWJB_zj5UwHYzyy4l1LjeJ41J7Ev=s1360-w1360-h1020,"Explore authentic Rajasthan with a luxury stay at The Oberoi Rajvilas, a 5 star hotel in Jaipur just 30 mins drive from the Airport."
6,JW Marriott Jaipur Resort & Spa,Jaipur,22000,4.6,"['Wi-Fi', 'Fitness Center', 'Luxury Spa', 'Fine Dining']",https://lh3.googleusercontent.com/p/AF1QipOfZkUClkqxvTCUqrXtAe-P68m74BLZDS5gXxDZ=s680-w680-h510,"The JW Marriott Jaipur Resort & Spa is a luxury hotel in Rajasthan that combines traditional architecture with modern amenities. The resort is set in the Aravalli hills and is close to palaces like Amber Fort and Jal Mahal." 
7,Wildflower Hall,Shimla,19000,4.8,"['Wi-Fi', 'Mountain View', 'Adventure Sports', 'Luxury Spa']",https://lh3.googleusercontent.com/proxy/ZTK5TC08Sg0XwVxJwW3D5up2vMTn8D4ZCW6AzVUfPEOUJ2LwvEHbw1eWzj_27x6n3Jq7dt7pkDJROT3kVENu-pK-JSg-i0femfITyi_CIYmQRyPrQaF9UffJwW-RaoVCSZNymYcBqCjps8UWofYMSxxlU4_ssVx5Yz0_Tw=s1360-w1360-h1020,"Wildflower Hall, An Oberoi Resort is one of the best resorts in Shimla that offers snowfall views, a swimming pool, luxury accommodations & more."
8,The Imperial,New Delhi,21000,4.7,"['Wi-Fi', 'Colonial Architecture', 'Fine Dining', 'Luxury Spa']",https://lh3.googleusercontent.com/p/AF1QipNZR_vpU2ZvL7fofcPj9ZGdo1Hw3RAs4WPx_y8J=s1360-w1360-h1020,"The Imperial New Delhi is a luxury hotel in New Delhi, India that's known for its elegant architecture, notable art collection, and exceptional service."
9,ITC Grand Chola,Chennai,18000,4.6,"['Wi-Fi', 'Heritage Stay', 'Fitness Center', 'Fine Dining']",https://lh3.googleusercontent.com/proxy/69Ilu49qMjZ042ky0BWyqGfwRT5z-GZ6gdYALkAKUM_-EJzPwMfnVS5npRXGpn_U7Lkz4zrpfIiOCVaJMIeUAxoRmOg8ajNhTcTQejBW_O2-GkowJ8e_NIrprA3GdorM07UqvCtcR7Kl40jM-VsGMPaRaxJdMg=s1360-w1360-h1020,"Luxury accommodation, signature cuisines & exceptional amenities make ITC Grand Chola, Chennai, one of the world's best 5-star hotels."
10,Taj Mahal Tower,Mumbai,25000,4.9,"['Wi-Fi', 'Sea View', 'Fine Dining', 'Luxury Spa']",https://lh3.googleusercontent.com/p/AF1QipOqbF0DApKmbMUg_Swk9mspnyPSZOVkVC-h3j-h=s1360-w1360-h1020,"An iconic location at the Gateway of India, with sweeping views over the Arabian Sea and access to palace wing facilities."
11,The Oberoi Grand,Kolkata,20000,4.7,"['Wi-Fi', 'Heritage Stay', 'Fine Dining', 'Luxury Spa']",https://lh3.googleusercontent.com/p/AF1QipNtoA13HvYM--vDXe1gyiYY7JfSC5v0b2t-0lar=s1360-w1360-h1020,"The Oberoi Grand is a 5-star hotel in Kolkata, India that's known for its heritage charm, elegant decor, and world-class dining." 
12,Four Seasons Hotel,Mumbai,23000,4.6,"['Wi-Fi', 'Luxury Spa', 'Rooftop Bar', 'Fine Dining']",https://lh3.googleusercontent.com/p/AF1QipOWbwrNbz15F2pfMbfygi-_TyncTiX4aIK7ObGD=s1360-w1360-h1020,"The Four Seasons Hotel Mumbai is a luxury hotel in Worli, Mumbai, India. It has a rooftop bar and restaurant, an outdoor pool, a spa, and a fitness center. The hotel is known for its attentive service and spacious rooms." 
13,Jai Mahal Palace,Jaipur,21000,4.7,"['Wi-Fi', 'Heritage Stay', 'Fine Dining', 'Luxury Spa']",https://lh3.googleusercontent.com/p/AF1QipNpAQ_jAWfQa4FASAJxhxZtbmwRvuX_jgpBoQf_=s1360-w1360-h1020,"An authentic luxury palace in the heart of Jaipur originally built in 1745 and set amidst eighteen acres of landscaped gardens, with artful rooms and themes."
14,Alila Fort Bishangarh,Jaipur,20000,4.6,"['Wi-Fi', 'Heritage Fort Stay', 'Fine Dining', 'Wellness Spa']",https://lh3.googleusercontent.com/p/AF1QipMyR7l32G3KR7K5jos2bSJOUecxjE3vejzLu4Jk=s1360-w1360-h1020,"An exquisite ode to Rajasthan, this 235-year-old warrior fort captures the richness of Bishangarh's culture and the profound sense of peace."
15,The Ritz-Carlton,Bengaluru,22000,4.7,"['Wi-Fi', 'Fitness Center', 'Fine Dining', 'Luxury Spa']",https://lh3.googleusercontent.com/p/AF1QipOL52qohP-xcjKZgT-OMbDw_IwiXWqKguIsMJML=s680-w680-h510,"The Ritz-Carlton is a pinnacle of luxury hospitality and will forever remain in history with its iconic logo, passionate Ladies and Gentlemen, world-class service and references in pop culture."
16,Marriott Suites,Pune,18000,4.6,"['Wi-Fi', 'Business Center', 'Fine Dining', 'Fitness Center']",https://lh3.googleusercontent.com/proxy/Ei3ifhE8MGqiCoPxq2PB2jkeVvpT1oomzEtMNxu1PhcMRV9IsBmqoeC18xryM4kDbqbD9Txvp1yNTY0aJs4GY0D0CcxX8VSiAFKf5hw9FPfYnmgGrlJ23TUkWCW9fCP-I5LENFaULwnlbjrkl78MyqBE-ua_Wg=s680-w680-h510,"Marriott International Inc (Marriott) is a hospitality service provider that operates hotels and restaurants. It operates, franchises, and licenses hotels, residential, and timeshare properties under several luxury, premium, and select brand names."
17,Park Hyatt,Chennai,19000,4.5,"['Wi-Fi', 'Luxury Spa', 'Fine Dining', 'Fitness Center']",https://lh3.googleusercontent.com/p/AF1QipO5sPn_1esbTM5wl7Waceqf78J8oZ5Arl_wQ3Rj=s1360-w1360-h1020,"The Park Hyatt Chennai is a 5-star hotel in Chennai, India with spacious rooms and suites, a rooftop infinity pool, and a spa. The hotel also has a restaurant, gym, and event space." 
18,JW Marriott Sahar,Mumbai,23000,4.7,"['Wi-Fi', 'Business Center', 'Fine Dining', 'Luxury Spa']",https://cache.marriott.com/content/dam/marriott-digital/jw/apec/hws/b/bomsa/en_us/photo/unlimited/assets/bomsa-exterior-0023.jpg,"The JW Marriott Mumbai Sahar is a 5-star hotel in Andheri East, Mumbai, India. It's located near the airport and business hubs."
19,JW Marriott Juhu,Mumbai,24000,4.8,"['Wi-Fi', 'Beach Access', 'Fine Dining', 'Luxury Spa']",https://lh3.googleusercontent.com/p/AF1QipNaKANnYsL2n4WAvveGcfOe0kv42pqoRKL5aB04=s1360-w1360-h1020,"Nestled along Juhu Beach, JW Marriott Mumbai Juhu is a five-star haven where luxury reigns supreme. Upscale comfort awaits at our Mumbai beach hotel."
20,The Oberoi,New Delhi,22000,4.9,"['Wi-Fi', 'Business Center', 'Fine Dining', 'Luxury Spa']",https://lh3.googleusercontent.com/proxy/R_ToNuJ9MGKpse-koUIPSgvM8ofWwQajGw8e-4UB2D-CB3sWglN4iPBTTKV5oWbv8_La4oH4szZraNcvHrie-4uVWxs-YqRWzTjbsh9MT3r4vhWOCYNLlxqnBD3ys2JSKPL9httE9H4XOfjLM50BPEXxDv0DFA=s1360-w1360-h1020,"The Oberoi, New Delhi is a 5-star luxury hotel in the center of New Delhi, India. It's known for its hospitality and views of the city and Delhi Golf Club. The hotel has multiple restaurants, a spa, a pool, and a rooftop bar." 
21,The Leela Palace,Jaipur,20000,4.7,"['Wi-Fi', 'Heritage Stay', 'Fine Dining', 'Luxury Spa']",https://lh3.googleusercontent.com/proxy/MB-BGYc5E8yAnzuhG9PiHn79WuSicf5bl1inr4m3LOZmx85c4YkYakNqAPEkLxq1gdg8Vg19rrezD4ClX4p4OMoCwYXDTKQQD5OoKH-4eeTO1BuO5QBeBfUB7cRY1HRdbGKwXZsORQK96K0G_WUeisgXwFp3KD8=s1360-w1360-h1020,"The Leela Palace Jaipur is a luxury hotel in Jaipur, Rajasthan, India. It's known for its blend of modern luxury and traditional Indian opulence. The hotel is set against the Aravalli Hills and has landscaped gardens." 
22,Conrad,Bengaluru,21000,4.6,"['Wi-Fi', 'Fine Dining', 'Fitness Center', 'Luxury Spa']",https://lh3.googleusercontent.com/p/AF1QipOzHkYpNgYg5u4w6iAGItb3OVhrUhERtE8o7j6f=s1360-w1360-h1020,"The Conrad Bengaluru is a 24-story luxury hotel in Bangalore's Central Business District. It has views of Ulsoor Lake, and is known for its elegant rooms, multiple restaurants, and large event space."
23,Taj Bengal,Kolkata,20000,4.7,"['Wi-Fi', 'Heritage Stay', 'Fine Dining', 'Luxury Spa']",https://lh3.googleusercontent.com/p/AF1QipNDpNF1YFI9xpEMMxengOSXFauDBPZGfTyOqKh2=s1360-w1360-h1020,"Taj Bengal is an Indian luxury hotel in Kolkata, operated by the Taj Hotels and designed by American architect Bob Fox."
24,Evolve Back Kabini,Kabini,18000,4.8,"['Wi-Fi', 'Wildlife Safari', 'Luxury Stay', 'Fine Dining']",https://lh3.googleusercontent.com/p/AF1QipNKjUdJ_7E9A38D19Sk7RklhP7AYK7xmfc5iI_G=s1360-w1360-h1020,"Evolve Back Kabini is a luxury resort in Karnataka, India, located on the banks of the Kabini River. It's a popular destination for wildlife enthusiasts and nature lovers." 
25,Suryagarh,Jaisalmer,17000,4.7,"['Wi-Fi', 'Desert Experience', 'Luxury Stay', 'Fine Dining']",https://lh3.googleusercontent.com/p/AF1QipPmDw_KuefHWYi7KuVhZJrr3bIEyiXHMiCZ3krR=s1360-w1360-h1020,"Suryagarh Jaisalmer is a 5-star hotel in Jaisalmer, Rajasthan, India. It's a golden sandstone fortress that combines contemporary amenities with the rich history of Rajasthan."
26,ITC Maratha,Mumbai,22000,4.8,"['Wi-Fi', 'Heritage Stay', 'Fine Dining', 'Luxury Spa']",https://images.trvl-media.com/lodging/1000000/580000/577900/577808/36e58fbb.jpg?impolicy=resizecrop&rw=575&rh=575&ra=fill,"The ITC Maratha, a Luxury Collection Hotel is a 5-star hotel in Mumbai, India. It's close to the airport and has a variety of restaurants, a spa, and a gym. The hotel is known for its warm hospitality and impeccable service." 
27,Radisson Blu Plaza,Delhi,19000,4.5,"['Wi-Fi', 'Business Center', 'Fine Dining', 'Fitness Center']",https://lh3.googleusercontent.com/p/AF1QipNnSnIqBWlLedxJ9sCb_Zl3I6I-WuXsMfH85kcx=s1360-w1360-h1020,"Radisson Blu hotels attract the traveler seeking a stay that combines style with substance, innovation with comfort and a sense of belonging in an elevated environment."
28,Taj West End,Bengaluru,20000,4.6,"['Wi-Fi', 'Luxury Spa', 'Fine Dining', 'Heritage Stay']",https://lh3.googleusercontent.com/p/AF1QipNnSnIqBWlLedxJ9sCb_Zl3I6I-WuXsMfH85kcx=s1360-w1360-h1020,"Revel in award-winning dining and spa amenities, accompanied by the unparalleled Taj service you would anticipate from a 5-star hotel in Bengaluru."
29,Radisson Hotel Kufri,Shimla,18000,4.5,"['Wi-Fi', 'Mountain View', 'Fine Dining', 'Adventure Sports']",https://lh3.googleusercontent.com/p/AF1QipOVkCLW77wDX7oBFhn-UHftj3RE1nV0bL4oCYvL=s1360-w1360-h1020,"Discover the new Radisson Kufri situated in the foothills of the Himalayas. Enjoy spectacular views, comfortable and stylish rooms, and on-site dining."
30,Hotel Chanoud Garh,Jodhpur,17000,4.7,"['Wi-Fi', 'Heritage Stay', 'Fine Dining', 'Cultural Experience']",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQoCDm6cCRufIuoTLKs0fJDZorYDXDMNzQUOg&s,"Hotel Chanoud Garh is a 300-year-old palace in the village of Chanoud, Rajasthan. It's a family-run hotel that offers a unique glimpse into local life."
31,Grand Lotus Resort,Manali,4500,4.3,"['WiFi','Parking','Pool']",https://lh3.googleusercontent.com/p/AF1QipMLZ1s3ll9mW751aJ7Z8TqnxprxY2pzig51d6ej=s1360-w1360-h1020,"Luxury resort with scenic mountain views."
32,Ocean Breeze Hotel,Goa,5200,4.5,"['WiFi','Beachfront','Bar']",https://lh3.googleusercontent.com/proxy/oIB50RK36NeyKt_H-EXhJIBWMCs-eyA5YKtzADqaFw2ULLKNhFQssmRxnRyueIzl_s2urziHVW-PvQq5SZh_wtNjUX6chD098sruBpEozb6a9fXVM-mAMB1D_W0xrAnzP0LCn464OgssNkCfjjFxwVKIMblQEC8=w574-h384-n-k-rw-no-v1,"Cozy beachfront stay with modern amenities."
33,Riverside Retreat,Rishikesh,3900,4.2,"['WiFi','River View','Yoga']",https://lh3.googleusercontent.com/p/AF1QipMNx7MzW15lWITYAu_PXX61fVhBmiGjfRds1FXE=s1360-w1360-h1020,"Peaceful retreat by the Ganges."
34,Meadow View Stay,Ooty,4800,4.6,"['WiFi','Parking','Garden']",https://cf.bstatic.com/xdata/images/hotel/max1024x768/600604284.jpg?k=6b0eba7fe592ea944ed3c28b62148491664b5da7135174e77d417a5da5ea5893&o=&hp=1,"Serene cottages amidst lush green landscapes."
35,Snowflake Lodge,Darjeeling,4300,4.1,"['WiFi','Mountain View','Heater']",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/25/76/da/snow-flakes-resort.jpg?w=700&h=-1&s=1,"Comfortable lodge with a view of the Himalayas."
36,Pinewood Residency,Munnar,4100,4.3,"['WiFi','Parking','Spa']",https://media-cdn.tripadvisor.com/media/photo-s/0e/87/55/8b/pine-tree-munnar.jpg,"Relaxing getaway in tea plantations."
37,Sunset Bay Resort,Alibaug,5000,4.4,"['WiFi','Beach Access','Pool']",https://content.jdmagicbox.com/comp/alibaug/z9/9999p2141.2141.180904175504.d9z9/catalogue/ice-apple-resort-nagaon-alibaug-resorts-7n1a0026lj.jpg,"Perfect escape with private beach access."
38,Desert Rose Camp,Jaisalmer,4700,4.0,"['WiFi','Campfire','Cultural Show']",https://cdn.getyourguide.com/img/tour/92419147e9865182a20c4c035eb88a1d0cf8352eb70cdd1bdd3ffe827ea4e588.jpeg/146.jpg,"Authentic desert camping experience."
39,Green Leaf Inn,Coonoor,3800,4.5,"['WiFi','Garden View','Breakfast']",https://r2imghtlak.mmtcdn.com/r2-mmt-htl-image/flyfish/raw/NH79144350349782/QS1042/QS1042-Q1/1409726033038434.jpeg,"Charming colonial-style inn."
40,Heritage Palace,Bikaner,5500,4.7,"['WiFi','Heritage Property','Pool']",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1bR58kxUfGwuFxbAoqaFBkWogYqyyanNziQ&s,"Royal stay in a historic palace."
41,Forest Edge Homestay,Wayanad,4200,4.2,"['WiFi','Bonfire','Trekking']",https://r2imghtlak.mmtcdn.com/r2-mmt-htl-image/htl-imgs/201801111806097228-b1ef3b54d4ed11e79ba80a209fbd0127.jpg,"Stay surrounded by nature."
42,Valley View Hotel,Kodaikanal,4700,4.6,"['WiFi','Parking','Restaurant']",https://valley-view-inn.hotelsintamilnadu.com/data/Pics/OriginalPhoto/999/99993/99993194/valley-view-inn-kodaikanal-pic-10.JPEG,"Panoramic views of the valley."
43,Azure Haven,Kovalam,5100,4.3,"['WiFi','Beachfront','Spa']",https://cf.bstatic.com/xdata/images/hotel/max1024x768/552116384.jpg?k=ece15557d30e8d002b5d083be46388d1d00eca3380076658fb08138c9ac3b812&o=&hp=1,"Exotic beachside escape."
44,Evergreen Residency,Coorg,3900,4.4,"['WiFi','Plantation View','Trekking']",https://r2imghtlak.mmtcdn.com/r2-mmt-htl-image/htl-imgs/201708281306458407-d9d4c980-d6b0-4b9f-9f13-42e42648c933.jpg,"Coffee plantation stay."
45,Royal Orchids,Nainital,4400,4.5,"['WiFi','Lake View','Boating']",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGyRAVpQCUi1UG1965PwBDdZonyrHSbVZRYA&s,"Stay by the scenic Naini Lake."
46,Hilltop Haven,Lonavala,5300,4.2,"['WiFi','Parking','Pool']",https://r1imghtlak.mmtcdn.com/4315e145-76aa-408f-b29f-9f6f80c2ad96.webp,"Perfect weekend retreat."
47,Misty Pines,Shillong,4000,4.3,"['WiFi','Mountain View','Restaurant']",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/e7/4a/86/mystic-pines.jpg?w=900&h=500&s=1,"Stay amidst misty hills."
48,Sunrise Lodge,Madurai,3700,4.1,"['WiFi','Parking','Air Conditioning']",https://media-cdn.tripadvisor.com/media/photo-s/23/7b/ad/10/jc-residency-madurai.jpg,"Comfortable stay near the temple city."
49,Tranquil Woods,Chikmagalur,4600,4.5,"['WiFi','Forest View','Coffee Tour']",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmHA57uiDHIcZLjZn411qE2nxlqmH5457kog&s,"Experience coffee estate living."
50,Golden Sands,Digha,3800,4.2,"['WiFi','Beachfront','Restaurant']",https://content.jdmagicbox.com/comp/digha/r7/9999p3220.3220.171127125332.y5r7/catalogue/hotel-golden-beach-digha-hotels-3h8312rtxg.jpg,"Budget-friendly beach stay."
51,Hyderabad Grand,Hyderabad,5800,4.6,"['WiFi','Parking','Gym']",https://lh3.googleusercontent.com/p/AF1QipOZjtEvr_RGg6z8VaDEhoZ-Gi7bf-Cnm4OEVGao=s680-w680-h510,"Premium stay in the heart of Hyderabad."
52,The Charminar Inn,Hyderabad,4200,4.4,"['WiFi','City View','Restaurant']",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/c7/89/5e/charminar-hotel.jpg?w=900&h=500&s=1,"Charming hotel near iconic Charminar."
53,Lake View Residency,Hyderabad,4900,4.5,"['WiFi','Lake View','Spa']",https://content.jdmagicbox.com/v2/comp/hyderabad/q1/040pxx40.xx40.170906215703.h6q1/catalogue/lake-view-residency-sainikpuri-hyderabad-residential-buildings-92vojq33hn.jpg,"Luxury stay with a view of Hussain Sagar Lake."
54,The Pearl Retreat,Hyderabad,5100,4.3,"['WiFi','Parking','Pool']",https://r1imghtlak.mmtcdn.com/8b51ce08315511e7bb9c0a9df65c8753.jpg,"Relaxing escape near Hyderabad's IT hub."
55,Heritage Haveli,Hyderabad,4600,4.2,"['WiFi','Historic Property','Breakfast']",https://content3.jdmagicbox.com/v2/comp/hyderabad/i3/040pxx40.xx40.200628185044.a1i3/catalogue/heritage-palace-musheerabad-hyderabad-hotels-bkl9yq6f9v.jpg,"Traditional haveli with modern comforts."